condition,algorithm,n,mean_regret,ci95_low,ci95_high,ci_method
clean_dynamic_communication_topologies / ring / dynamic / no_attack / none / mean,mean,100,78.04083999999973,77.29745330621797,78.78422669378149,normal_approximation
clean_dynamic_communication_topologies / ring / dynamic / no_attack / none / median,median,100,367.1473799999952,350.22623095664596,384.0685290433445,normal_approximation
clean_dynamic_communication_topologies / ring / dynamic / no_attack / none / trimmed_mean,trimmed_mean,100,239.98933999999736,229.75964458848603,250.21903541150868,normal_approximation
clean_dynamic_communication_topologies / scale_free / dynamic / no_attack / none / mean,mean,100,78.10725999999971,76.74953228198363,79.46498771801579,normal_approximation
clean_dynamic_communication_topologies / scale_free / dynamic / no_attack / none / median,median,100,411.4087399999951,394.41275655078636,428.4047234492038,normal_approximation
clean_dynamic_communication_topologies / scale_free / dynamic / no_attack / none / trimmed_mean,trimmed_mean,100,308.1091399999969,296.83986778824027,319.3784122117535,normal_approximation
clean_dynamic_communication_topologies / small_world / dynamic / no_attack / none / mean,mean,100,64.10377999999984,63.194373242512086,65.0131867574876,normal_approximation
clean_dynamic_communication_topologies / small_world / dynamic / no_attack / none / median,median,100,294.4434399999968,278.85249473556775,310.0343852644259,normal_approximation
clean_dynamic_communication_topologies / small_world / dynamic / no_attack / none / trimmed_mean,trimmed_mean,100,247.32639999999776,229.3576206847276,265.29517931526794,normal_approximation
clean_static_all_topologies / complete / static / no_attack / none / centralized_clean_reference,centralized_clean_reference,100,14.702499999999992,14.383345601080508,15.021654398919475,normal_approximation
clean_static_all_topologies / complete / static / no_attack / none / independent,independent,100,114.73117999999968,114.22038455578023,115.24197544421914,normal_approximation
clean_static_all_topologies / complete / static / no_attack / none / mean,mean,100,10.876979999999994,10.599032960003795,11.154927039996194,normal_approximation
clean_static_all_topologies / complete / static / no_attack / none / median,median,100,14.433279999999568,5.019285774047143,23.847274225951992,normal_approximation
clean_static_all_topologies / complete / static / no_attack / none / trimmed_mean,trimmed_mean,100,11.420539999999644,2.86347395844591,19.97760604155338,normal_approximation
clean_static_all_topologies / ring / static / no_attack / none / centralized_clean_reference,centralized_clean_reference,100,14.702499999999992,14.383345601080508,15.021654398919475,normal_approximation
clean_static_all_topologies / ring / static / no_attack / none / independent,independent,100,114.73117999999968,114.22038455578023,115.24197544421914,normal_approximation
clean_static_all_topologies / ring / static / no_attack / none / mean,mean,100,78.42217999999968,77.74780749072427,79.0965525092751,normal_approximation
clean_static_all_topologies / ring / static / no_attack / none / median,median,100,388.79913999999405,371.35725277114244,406.24102722884567,normal_approximation
clean_static_all_topologies / ring / static / no_attack / none / trimmed_mean,trimmed_mean,100,211.3834199999962,199.10153431455052,223.66530568544187,normal_approximation
clean_static_all_topologies / scale_free / static / no_attack / none / centralized_clean_reference,centralized_clean_reference,100,14.702499999999992,14.383345601080508,15.021654398919475,normal_approximation
clean_static_all_topologies / scale_free / static / no_attack / none / independent,independent,100,114.73117999999968,114.22038455578023,115.24197544421914,normal_approximation
clean_static_all_topologies / scale_free / static / no_attack / none / mean,mean,100,80.14277999999965,78.55753303701452,81.72802696298477,normal_approximation
clean_static_all_topologies / scale_free / static / no_attack / none / median,median,100,437.655479999994,417.52779334955716,457.7831666504308,normal_approximation
clean_static_all_topologies / scale_free / static / no_attack / none / trimmed_mean,trimmed_mean,100,280.27815999999535,268.3474299296367,292.208890070354,normal_approximation
clean_static_all_topologies / small_world / static / no_attack / none / centralized_clean_reference,centralized_clean_reference,100,14.702499999999992,14.383345601080508,15.021654398919475,normal_approximation
clean_static_all_topologies / small_world / static / no_attack / none / independent,independent,100,114.73117999999968,114.22038455578023,115.24197544421914,normal_approximation
clean_static_all_topologies / small_world / static / no_attack / none / mean,mean,100,61.50783999999982,60.71019220833113,62.305487791668504,normal_approximation
clean_static_all_topologies / small_world / static / no_attack / none / median,median,100,309.1259799999957,291.91892106211037,326.33303893788104,normal_approximation
clean_static_all_topologies / small_world / static / no_attack / none / trimmed_mean,trimmed_mean,100,273.70653999999615,253.44914439382524,293.96393560616707,normal_approximation
coordinated_dynamic_random_and_degree / ring / dynamic / coordinated_target / degree_centrality / mean,mean,100,93.20789999999988,91.9513646395162,94.46443536048356,normal_approximation
coordinated_dynamic_random_and_degree / ring / dynamic / coordinated_target / random / mean,mean,100,83.09657499999972,81.81755211295537,84.37559788704407,normal_approximation
coordinated_dynamic_random_and_degree / ring / dynamic / coordinated_target / degree_centrality / median,median,100,372.8467749999951,353.47367345515215,392.21987654483803,normal_approximation
coordinated_dynamic_random_and_degree / ring / dynamic / coordinated_target / random / median,median,100,389.693449999995,372.18017852221413,407.20672147777583,normal_approximation
coordinated_dynamic_random_and_degree / ring / dynamic / coordinated_target / degree_centrality / trimmed_mean,trimmed_mean,100,245.44532499999718,233.45641540081726,257.4342345991771,normal_approximation
coordinated_dynamic_random_and_degree / ring / dynamic / coordinated_target / random / trimmed_mean,trimmed_mean,100,257.1574749999968,245.45740660827948,268.8575433917141,normal_approximation
coordinated_dynamic_random_and_degree / scale_free / dynamic / coordinated_target / degree_centrality / mean,mean,100,87.52049999999969,85.52261917618046,89.51838082381892,normal_approximation
coordinated_dynamic_random_and_degree / scale_free / dynamic / coordinated_target / random / mean,mean,100,80.90667499999971,79.20641208563642,82.606937914363,normal_approximation
coordinated_dynamic_random_and_degree / scale_free / dynamic / coordinated_target / degree_centrality / median,median,100,453.53277499999444,433.37510568645894,473.69044431352995,normal_approximation
coordinated_dynamic_random_and_degree / scale_free / dynamic / coordinated_target / random / median,median,100,419.56862499999477,402.9994126127203,436.13783738726926,normal_approximation
coordinated_dynamic_random_and_degree / scale_free / dynamic / coordinated_target / degree_centrality / trimmed_mean,trimmed_mean,100,320.15867499999604,308.97130801137195,331.34604198862013,normal_approximation
coordinated_dynamic_random_and_degree / scale_free / dynamic / coordinated_target / random / trimmed_mean,trimmed_mean,100,331.9544499999959,320.78478240265093,343.1241175973409,normal_approximation
coordinated_static_random_and_degree / ring / static / coordinated_target / degree_centrality / independent,independent,100,114.70039999999968,114.14367132873988,115.25712867125947,normal_approximation
coordinated_static_random_and_degree / ring / static / coordinated_target / random / independent,independent,100,114.86759999999967,114.28051288652732,115.45468711347202,normal_approximation
coordinated_static_random_and_degree / ring / static / coordinated_target / degree_centrality / mean,mean,100,90.15827499999978,89.36496593611088,90.95158406388867,normal_approximation
coordinated_static_random_and_degree / ring / static / coordinated_target / random / mean,mean,100,83.01299999999965,81.61374994056142,84.41225005943788,normal_approximation
coordinated_static_random_and_degree / ring / static / coordinated_target / degree_centrality / median,median,100,393.91037499999396,372.98353723385,414.83721276613795,normal_approximation
coordinated_static_random_and_degree / ring / static / coordinated_target / random / median,median,100,415.50672499999337,396.2059693103701,434.8074806896166,normal_approximation
coordinated_static_random_and_degree / ring / static / coordinated_target / degree_centrality / trimmed_mean,trimmed_mean,100,220.28969999999583,206.36425153534827,234.2151484646434,normal_approximation
coordinated_static_random_and_degree / ring / static / coordinated_target / random / trimmed_mean,trimmed_mean,100,232.75557499999536,218.67186923090242,246.8392807690883,normal_approximation
coordinated_static_random_and_degree / scale_free / static / coordinated_target / degree_centrality / independent,independent,100,114.81302499999967,114.22402105309975,115.40202894689959,normal_approximation
coordinated_static_random_and_degree / scale_free / static / coordinated_target / random / independent,independent,100,114.86759999999967,114.28051288652732,115.45468711347202,normal_approximation
coordinated_static_random_and_degree / scale_free / static / coordinated_target / degree_centrality / mean,mean,100,89.49017499999965,87.1452565733344,91.83509342666491,normal_approximation
coordinated_static_random_and_degree / scale_free / static / coordinated_target / random / mean,mean,100,82.10022499999967,80.16922622254008,84.03122377745926,normal_approximation
coordinated_static_random_and_degree / scale_free / static / coordinated_target / degree_centrality / median,median,100,496.59887499999263,473.94639006112305,519.2513599388623,normal_approximation
coordinated_static_random_and_degree / scale_free / static / coordinated_target / random / median,median,100,445.34807499999357,426.77483719177764,463.9213128082095,normal_approximation
coordinated_static_random_and_degree / scale_free / static / coordinated_target / degree_centrality / trimmed_mean,trimmed_mean,100,292.6953749999938,277.70820600365664,307.682543996331,normal_approximation
coordinated_static_random_and_degree / scale_free / static / coordinated_target / random / trimmed_mean,trimmed_mean,100,305.52209999999474,292.0622764671045,318.981923532885,normal_approximation
