comparison,n_pairs,mean_difference,ci95_low,ci95_high,ci_method
clean_static_all_topologies / complete / static / vs_independent / centralized_clean_reference vs independent,100,-100.02867999999968,-100.67630499999972,-99.43329199999967,paired_percentile_bootstrap
clean_static_all_topologies / ring / static / vs_independent / centralized_clean_reference vs independent,100,-100.02867999999968,-100.67665949999974,-99.42345299999965,paired_percentile_bootstrap
clean_static_all_topologies / scale_free / static / vs_independent / centralized_clean_reference vs independent,100,-100.02867999999968,-100.6301889999997,-99.4434134999996,paired_percentile_bootstrap
clean_static_all_topologies / small_world / static / vs_independent / centralized_clean_reference vs independent,100,-100.02867999999968,-100.63673649999969,-99.43845149999967,paired_percentile_bootstrap
clean_static_all_topologies / complete / static / vs_independent / mean vs independent,100,-103.8541999999997,-104.37568399999974,-103.3180939999997,paired_percentile_bootstrap
clean_static_all_topologies / ring / static / vs_independent / mean vs independent,100,-36.30899999999999,-37.14486549999997,-35.51493499999998,paired_percentile_bootstrap
clean_static_all_topologies / scale_free / static / vs_independent / mean vs independent,100,-34.58840000000003,-36.2383175,-32.99798900000007,paired_percentile_bootstrap
clean_static_all_topologies / small_world / static / vs_independent / mean vs independent,100,-53.223339999999865,-54.1070849999999,-52.26279449999984,paired_percentile_bootstrap
coordinated_static_random_and_degree / ring / static / vs_independent / mean vs independent,100,-24.5421249999999,-25.419428749999888,-23.63336249999991,paired_percentile_bootstrap
coordinated_static_random_and_degree / ring / static / vs_independent / mean vs independent,100,-31.854600000000026,-33.299453750000026,-30.33264437500007,paired_percentile_bootstrap
coordinated_static_random_and_degree / scale_free / static / vs_independent / mean vs independent,100,-25.322850000000017,-27.58770625000002,-22.957109375000073,paired_percentile_bootstrap
coordinated_static_random_and_degree / scale_free / static / vs_independent / mean vs independent,100,-32.76737500000001,-34.75788499999999,-30.85302312500001,paired_percentile_bootstrap
clean_static_all_topologies / complete / static / vs_independent / median vs independent,100,-100.29790000000011,-108.69867399999983,-89.84066700000044,paired_percentile_bootstrap
clean_static_all_topologies / ring / static / vs_independent / median vs independent,100,274.0679599999944,256.9527144999947,292.10139249999435,paired_percentile_bootstrap
clean_static_all_topologies / scale_free / static / vs_independent / median vs independent,100,322.9242999999943,301.7718519999943,342.92138049999386,paired_percentile_bootstrap
clean_static_all_topologies / small_world / static / vs_independent / median vs independent,100,194.394799999996,177.23981399999582,210.99148399999584,paired_percentile_bootstrap
coordinated_static_random_and_degree / ring / static / vs_independent / median vs independent,100,279.20997499999424,259.0948974999946,300.81116687499417,paired_percentile_bootstrap
coordinated_static_random_and_degree / ring / static / vs_independent / median vs independent,100,300.63912499999367,281.6182849999941,319.1410593749931,paired_percentile_bootstrap
coordinated_static_random_and_degree / scale_free / static / vs_independent / median vs independent,100,381.785849999993,359.3891506249929,405.47899374999247,paired_percentile_bootstrap
coordinated_static_random_and_degree / scale_free / static / vs_independent / median vs independent,100,330.4804749999939,312.08913562499396,349.0383468749943,paired_percentile_bootstrap
clean_static_all_topologies / complete / static / vs_independent / trimmed_mean vs independent,100,-103.31064000000003,-111.18607999999978,-94.86816200000041,paired_percentile_bootstrap
clean_static_all_topologies / ring / static / vs_independent / trimmed_mean vs independent,100,96.65223999999651,84.65538599999668,108.46024599999649,paired_percentile_bootstrap
clean_static_all_topologies / scale_free / static / vs_independent / trimmed_mean vs independent,100,165.54697999999564,154.04732999999587,176.78218249999549,paired_percentile_bootstrap
clean_static_all_topologies / small_world / static / vs_independent / trimmed_mean vs independent,100,158.97535999999644,138.48452149999665,178.6279524999961,paired_percentile_bootstrap
coordinated_static_random_and_degree / ring / static / vs_independent / trimmed_mean vs independent,100,105.58929999999614,91.68045937499627,120.04166374999586,paired_percentile_bootstrap
coordinated_static_random_and_degree / ring / static / vs_independent / trimmed_mean vs independent,100,117.88797499999569,104.36130687499578,131.8878424999952,paired_percentile_bootstrap
coordinated_static_random_and_degree / scale_free / static / vs_independent / trimmed_mean vs independent,100,177.88234999999415,162.79851999999448,194.02387999999343,paired_percentile_bootstrap
