group_kind,group_name,topology,topology_mode,algorithm_label,aggregation,attack_strategy,byzantine_fraction,byzantine_placement,target_arm,inflated_mean,metric,n,mean,std,sem,ci95_low,ci95_high,min,max,ci_method
primary,clean_dynamic_communication_topologies,ring,dynamic,mean,mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,78.04083999999973,3.7928589486618236,0.37928589486618236,77.29745330621797,78.78422669378149,70.33399999999976,85.72799999999962,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,mean,mean,no_attack,0.0,none,,1.0,total_population_regret,100,1951.0209999999934,94.8214737165456,9.482147371654559,1932.4363326554494,1969.6056673445373,1758.349999999994,2143.1999999999907,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,mean,mean,no_attack,0.0,none,,1.0,median_honest_regret,100,74.51399999999998,8.79292955169146,0.879292955169146,72.79061747600866,76.2373825239913,51.34999999999977,98.49999999999996,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,mean,mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,138.08579999999915,16.167734184061214,1.6167734184061213,134.91698232876143,141.25461767123687,95.19000000000065,172.84999999999815,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,mean,mean,no_attack,0.0,none,,1.0,max_honest_regret,100,165.24399999999878,18.95883802858009,1.895883802858009,161.52813602752425,168.9598639724733,109.34999999999793,214.2499999999984,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,mean,mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,mean,mean,no_attack,0.0,none,,1.0,messages_sent,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,mean,mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,median,median,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,367.1473799999952,86.33397948544518,8.633397948544518,350.22623095664596,384.0685290433445,181.80599999999777,597.1359999999894,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,median,median,no_attack,0.0,none,,1.0,total_population_regret,100,9178.684499999881,2158.3494871361295,215.83494871361296,8755.65577391615,9601.713226083612,4545.149999999944,14928.399999999734,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,median,median,no_attack,0.0,none,,1.0,median_honest_regret,100,275.33149999999773,112.83254658313109,11.283254658313108,253.21672724131025,297.4462727586852,4.45,648.0500000000028,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,median,median,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,841.5458999999878,138.38191039816377,13.838191039816376,814.4235439507628,868.6682560492128,462.2200000000027,998.87,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,median,median,no_attack,0.0,none,,1.0,max_honest_regret,100,984.990499999999,52.21000024909569,5.22100002490957,974.7575279878935,995.2234720121045,648.2999999999778,999.65,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,median,median,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,0.6124,0.1452487938717982,0.01452487938717982,0.5839317595213394,0.6408682404786608,0.28,0.92,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,median,median,no_attack,0.0,none,,1.0,messages_sent,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,median,median,no_attack,0.0,none,,1.0,scalar_values_sent,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,239.98933999999736,52.19328259193462,5.219328259193462,229.75964458848603,250.21903541150868,137.87799999999814,373.303999999997,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,total_population_regret,100,5999.733499999935,1304.8320647983655,130.48320647983655,5743.991114712152,6255.475885287718,3446.9499999999534,9332.599999999926,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,median_honest_regret,100,185.23299999999733,58.801105526265644,5.880110552626564,173.70819509173535,196.75780490825932,1.05,301.0,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,551.2356999999924,123.34869660458179,12.334869660458178,527.0597997114986,575.4116002884863,280.60000000000184,865.4399999999766,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,max_honest_regret,100,802.1594999999903,167.00337408056612,16.700337408056612,769.4274401505323,834.8915598494483,492.4,999.65,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,0.6036,0.1350310102805046,0.01350310102805046,0.5771344083054153,0.6300655916945848,0.2,0.88,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,messages_sent,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,normal_approximation
primary,clean_dynamic_communication_topologies,ring,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,mean,mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,78.10725999999971,6.927309525714086,0.6927309525714086,76.74953228198363,79.46498771801579,61.823999999999806,101.23199999999926,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,mean,mean,no_attack,0.0,none,,1.0,total_population_regret,100,1952.6814999999926,173.18273814285214,17.318273814285213,1918.7383070495905,1986.6246929503948,1545.5999999999951,2530.7999999999815,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,mean,mean,no_attack,0.0,none,,1.0,median_honest_regret,100,78.69599999999994,13.032077130811963,1.3032077130811963,76.14175981798599,81.2502401820139,40.049999999999926,129.24999999999952,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,mean,mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,135.5134999999992,18.13628849443908,1.813628849443908,131.95885277376632,139.06814722623207,97.01999999999948,180.8299999999987,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,mean,mean,no_attack,0.0,none,,1.0,max_honest_regret,100,165.65899999999888,25.25026390501102,2.525026390501102,160.71003921460354,170.60796078539423,102.60000000000002,226.19999999999675,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,mean,mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,1.0,0.0,0.0,1.0,1.0,1.0,1.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,mean,mean,no_attack,0.0,none,,1.0,messages_sent,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,mean,mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,1840000.0,0.0,0.0,1840000.0,1840000.0,1840000.0,1840000.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,median,median,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,411.4087399999951,86.71579469454991,8.671579469454992,394.41275655078636,428.4047234492038,186.97999999999658,613.8179999999927,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,median,median,no_attack,0.0,none,,1.0,total_population_regret,100,10285.218499999877,2167.894867363748,216.78948673637478,9860.318913769659,10710.118086230095,4674.4999999999145,15345.449999999817,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,median,median,no_attack,0.0,none,,1.0,median_honest_regret,100,336.8324999999984,146.79175646613606,14.679175646613606,308.06184440989824,365.60315559009854,13.750000000000007,796.1499999999719,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,median,median,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,879.8360999999888,116.89113293738525,11.689113293738526,856.925858933053,902.7463410669247,532.5899999999926,998.63,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,median,median,no_attack,0.0,none,,1.0,max_honest_regret,100,983.1499999999982,41.56019791225194,4.1560197912251935,975.004350890161,991.2956491098353,799.1499999999717,1000.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,median,median,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,0.6936,0.15880564323484325,0.015880564323484326,0.662474665871799,0.724725334128201,0.24,1.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,median,median,no_attack,0.0,none,,1.0,messages_sent,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,median,median,no_attack,0.0,none,,1.0,scalar_values_sent,100,1840000.0,0.0,0.0,1840000.0,1840000.0,1840000.0,1840000.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,mean_per_agent_regret,100,308.1091399999969,57.49734332185297,5.749734332185297,296.83986778824027,319.3784122117535,169.91399999999874,502.09999999999394,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,total_population_regret,100,7702.728499999922,1437.4335830463242,143.7433583046324,7420.996694706006,7984.460305293838,4247.8499999999685,12552.499999999849,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,median_honest_regret,100,246.9359999999977,75.53610350907331,7.553610350907332,232.13119575897036,261.74080424102505,100.94999999999854,500.45,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,worst_decile_honest_regret,100,672.3873999999893,136.5554512936733,13.65554512936733,645.623023357168,699.1517766428105,418.4800000000003,996.4099999999999,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,max_honest_regret,100,904.8329999999921,126.85815056451023,12.685815056451023,879.9692593748122,929.6967406251721,500.15,1000.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,best_arm_identification_rate,100,0.6692,0.1658384269051773,0.01658384269051773,0.6366962656013074,0.7017037343986926,0.16,0.92,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,messages_sent,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,normal_approximation
primary,clean_dynamic_communication_topologies,scale_free,dynamic,trimmed_mean,trimmed_mean,no_attack,0.0,none,,1.0,scalar_values_sent,100,1840000.0,0.0,0.0,1840000.0,1840000.0,1840000.0,1840000.0,normal_approximation
