comparison,baseline_algorithm_label,target_algorithm_label,group_kind,group_name,topology,topology_mode,attack_strategy,byzantine_fraction,byzantine_placement,target_arm,inflated_mean,metric,n_pairs,mean_difference,std_difference,sem_difference,ci95_low,ci95_high,min_difference,max_difference,ci_method,bootstrap_iterations,bootstrap_seed
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-100.02867999999968,3.193301906848593,0.3193301906848593,-100.67630499999972,-99.43329199999967,-108.53799999999966,-92.60199999999976,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,-2500.716999999992,79.83254767121477,7.983254767121477,-2516.8324124999926,-2484.5051749999925,-2713.449999999991,-2315.049999999994,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-100.02867999999968,3.193301906848593,0.3193301906848593,-100.67665949999974,-99.42345299999965,-108.53799999999966,-92.60199999999976,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,-2500.716999999992,79.83254767121477,7.983254767121477,-2516.274037499993,-2485.582612499992,-2713.449999999991,-2315.049999999994,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-100.02867999999968,3.193301906848593,0.3193301906848593,-100.6301889999997,-99.4434134999996,-108.53799999999966,-92.60199999999976,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,-2500.716999999992,79.83254767121477,7.983254767121477,-2517.058537499993,-2485.254574999992,-2713.449999999991,-2315.049999999994,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-100.02867999999968,3.193301906848593,0.3193301906848593,-100.63673649999969,-99.43845149999967,-108.53799999999966,-92.60199999999976,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,-2500.716999999992,79.83254767121477,7.983254767121477,-2516.2132874999934,-2485.4979124999923,-2713.449999999991,-2315.049999999994,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,centralized_clean_reference,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-103.8541999999997,2.761631877398331,0.27616318773983306,-104.37568399999974,-103.3180939999997,-111.48399999999978,-96.72599999999971,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,-2596.3549999999923,69.04079693495824,6.904079693495824,-2609.7873249999916,-2583.305912499991,-2787.0999999999945,-2418.1499999999933,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,1200000.0,0.0,0.0,1200000.0,1200000.0,1200000.0,1200000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,12000000.0,0.0,0.0,12000000.0,12000000.0,12000000.0,12000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-36.30899999999999,4.138428555513633,0.41384285555136324,-37.14486549999997,-35.51493499999998,-44.901999999999816,-25.292000000000314,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,-907.7249999999999,103.46071388784083,10.346071388784083,-927.0393000000001,-886.5755499999996,-1122.5499999999956,-632.3000000000079,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-34.58840000000003,8.284458337114891,0.8284458337114892,-36.2383175,-32.99798900000007,-50.38399999999993,-5.384000000000313,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,-864.7100000000007,207.1114584278723,20.71114584278723,-905.7611500000008,-821.456275,-1259.5999999999985,-134.60000000000764,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,1840000.0,0.0,0.0,1840000.0,1840000.0,1840000.0,1840000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-53.223339999999865,4.782426669895623,0.47824266698956225,-54.1070849999999,-52.26279449999984,-65.97799999999992,-41.84400000000032,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,-1330.5834999999965,119.56066674739054,11.956066674739054,-1352.6618499999968,-1307.8107249999966,-1649.449999999998,-1046.1000000000079,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,200000.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,2000000.0,0.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,mean_per_agent_regret_difference,100,-24.5421249999999,4.672266369455648,0.46722663694556477,-25.419428749999888,-23.63336249999991,-38.1249999999997,-12.329999999999956,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,total_population_regret_difference,100,-490.842499999998,93.44532738911296,9.344532738911296,-508.9919874999981,-472.22286249999735,-762.4999999999941,-246.59999999999923,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,messages_sent_difference,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,scalar_values_sent_difference,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,mean_per_agent_regret_difference,100,-31.854600000000026,7.5442116559717585,0.7544211655971759,-33.299453750000026,-30.33264437500007,-50.824999999999775,-8.322500000000161,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,total_population_regret_difference,100,-637.0920000000006,150.88423311943518,15.088423311943519,-666.2920750000008,-607.0528250000008,-1016.4999999999955,-166.45000000000346,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,messages_sent_difference,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,scalar_values_sent_difference,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,mean_per_agent_regret_difference,100,-25.322850000000017,11.804741664267702,1.1804741664267702,-27.58770625000002,-22.957109375000073,-52.32249999999962,13.459999999999738,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,total_population_regret_difference,100,-506.45700000000033,236.09483328535407,23.609483328535408,-551.5875874999995,-457.8173125000012,-1046.4499999999925,269.1999999999948,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,messages_sent_difference,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,scalar_values_sent_difference,100,1840000.0,0.0,0.0,1840000.0,1840000.0,1840000.0,1840000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,mean_per_agent_regret_difference,100,-32.76737500000001,10.466077848322438,1.046607784832244,-34.75788499999999,-30.85302312500001,-61.412499999999774,-6.19000000000041,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,total_population_regret_difference,100,-655.3475000000001,209.32155696644872,20.932155696644873,-694.9283000000003,-612.7268374999995,-1228.2499999999955,-123.80000000000837,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,best_arm_identification_rate_difference,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,messages_sent_difference,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,mean,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,scalar_values_sent_difference,100,1840000.0,0.0,0.0,1840000.0,1840000.0,1840000.0,1840000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,complete,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,-100.29790000000011,47.805581915215356,4.780558191521536,-108.69867399999983,-89.84066700000044,-119.70199999999977,87.9519999999932,paired_percentile_bootstrap,2000,20260827
